PersonalSpending,ProsocialSpending,GeneralHappiness,PersonalIncome
3000,70,sometimes,35001-50000
3020,55,most of the time,65001-80000
3000,100,most of the time,less20000
3030,70,sometimes,80001andup
3100,50,most of the time,80001andup
2300,900,most of the time,80001andup
3100,100,yes,80001andup
2600,600,most of the time,80001andup
3100,150,yes,65001-80000
2100,1150,most of the time,65001-80000
3150,160,sometimes,65001-80000
3050,275,yes,80001andup
2050,1350,yes,80001andup
3100,300,most of the time,80001andup
3200,250,most of the time,50001-65000
3100,450,most of the time,80001andup
3500,65,most of the time,80001andup
3000,620,sometimes,80001andup
3650,50,most of the time,80001andup
3800,0,most of the time,35001-50000
3800,10,sometimes,50001-65000
4000,0,most of the time,65001-80000
3700,300,most of the time,80001andup
4000,25,yes,65001-80000
4050,70,most of the time,80001andup
4000,170,yes,50001-65000
4010,200,most of the time,65001-80000
4100,150,most of the time,80001andup
3625,750,most of the time,50001-65000
4050,325,yes,80001andup
4100,300,most of the time,80001andup
4050,420,most of the time,80001andup
4200,300,most of the time,80001andup
4200,500,yes,80001andup
4600,180,sometimes,80001andup
4050,1100,most of the time,80001andup
5050,125,yes,65001-80000
5050,150,most of the time,80001andup
5000,210,sometimes,65001-80000
5050,200,most of the time,80001andup
2500,3000,most of the time,20001-35000
4100,1700,most of the time,80001andup
5200,800,yes,80001andup
6300,250,most of the time,80001andup
7520,750,yes,80001andup
15020,25,most of the time,20001-35000
18500,200,most of the time,less20000
25100,4900,yes,35001-50000
0,0,most of the time,20001-35000
0,0,most of the time,less20000
0,0,most of the time,less20000
0,0,yes,35001-50000
0,0,yes,35001-50000
0,0,sometimes,less20000
25,0,sometimes,less20000
350,0,sometimes,35001-50000
400,0,most of the time,less20000
500,0,yes,less20000
700,0,no,less20000
800,0,yes,less20000
900,0,yes,less20000
1000,0,sometimes,50001-65000
1000,0,most of the time,less20000
1100,0,rarely,20001-35000
1300,0,yes,20001-35000
1500,0,most of the time,20001-35000
2000,0,most of the time,35001-50000
2500,0,sometimes,20001-35000
2500,0,most of the time,35001-50000
3000,0,sometimes,50001-65000
3000,0,most of the time,35001-50000
620,0,yes,less20000
850,0,yes,20001-35000
1100,0,most of the time,20001-35000
3100,0,yes,65001-80000
810,10,sometimes,20001-35000
400,20,sometimes,35001-50000
1250,25,most of the time,20001-35000
750,50,sometimes,20001-35000
2550,50,yes,20001-35000
400,50,most of the time,20001-35000
600,100,most of the time,65001-80000
600,100,yes,35001-50000
500,0,yes,less20000
1200,0,most of the time,20001-35000
1700,0,sometimes,less20000
605,0,yes,less20000
600,5,rarely,20001-35000
700,10,rarely,less20000
510,20,most of the time,less20000
1000,50,most of the time,less20000
2000,0,yes,80001andup
450,0,yes,less20000
1000,15,yes,20001-35000
925,25,most of the time,20001-35000
90,30,most of the time,less20000
650,50,most of the time,less20000
1050,50,most of the time,20001-35000
1005,15,most of the time,35001-50000
1350,25,most of the time,20001-35000
350,50,most of the time,20001-35000
540,0,sometimes,20001-35000
1800,0,sometimes,20001-35000
220,0,most of the time,50001-65000
110,10,most of the time,65001-80000
1210,15,rarely,20001-35000
700,20,yes,less20000
850,10,yes,less20000
1610,20,most of the time,35001-50000
500,0,yes,20001-35000
800,0,most of the time,less20000
1500,0,most of the time,35001-50000
2000,0,sometimes,35001-50000
2500,0,sometimes,35001-50000
1120,0,yes,less20000
1610,10,yes,35001-50000
620,20,most of the time,50001-65000
1100,20,yes,35001-50000
1550,25,most of the time,20001-35000
1350,30,yes,20001-35000
2100,40,most of the time,20001-35000
1000,50,most of the time,35001-50000
500,50,most of the time,20001-35000
800,50,most of the time,20001-35000
1100,50,rarely,20001-35000
650,50,yes,65001-80000
1200,75,sometimes,20001-35000
1816,50,most of the time,20001-35000
1025,50,sometimes,20001-35000
600,0,yes,less20000
1000,0,sometimes,35001-50000
1200,0,yes,65001-80000
1700,0,yes,65001-80000
2000,0,most of the time,35001-50000
2000,0,most of the time,20001-35000
2400,0,most of the time,65001-80000
2500,0,most of the time,20001-35000
1000,0,yes,20001-35000
1750,10,yes,50001-65000
1020,15,most of the time,20001-35000
625,20,most of the time,20001-35000
700,20,sometimes,20001-35000
400,25,sometimes,less20000
1300,25,rarely,20001-35000
1500,50,most of the time,35001-50000
450,50,most of the time,less20000
950,50,most of the time,20001-35000
1000,50,no,80001andup
1500,75,most of the time,less20000
1300,100,most of the time,20001-35000
2000,100,most of the time,35001-50000
2000,100,most of the time,80001andup
3050,100,yes,80001andup
1600,100,most of the time,50001-65000
1300,150,yes,35001-50000
2500,200,rarely,35001-50000
2700,200,most of the time,65001-80000
50,50,yes,less20000
2150,100,most of the time,35001-50000
830,100,most of the time,35001-50000
600,0,most of the time,35001-50000
1620,10,most of the time,50001-65000
5.00000000000e-99,20,most of the time,65001-80000
860,60,most of the time,20001-35000
2300,300,yes,65001-80000
500,0,yes,20001-35000
80,100,yes,less20000
2100,100,yes,50001-65000
1000,0,sometimes,35001-50000
1000,100,most of the time,less20000
6000,500,sometimes,less20000
1400,2.00000000000e-29,rarely,20001-35000
1510,27,sometimes,20001-35000
700,41,most of the time,50001-65000
410,22,yes,less20000
3010,35,most of the time,35001-50000
100,25,yes,20001-35000
600,15,yes,80001andup
1460,15,most of the time,35001-50000
600,15,rarely,less20000
1520,25,yes,35001-50000
600,30,most of the time,35001-50000
1610,30,yes,65001-80000
725,30,most of the time,less20000
2000,5,most of the time,20001-35000
2001,7,yes,50001-65000
1500,15,most of the time,less20000
2110,30,yes,35001-50000
450,55,sometimes,less20000
1720,15,most of the time,20001-35000
1050,30,most of the time,35001-50000
550,105,yes,less20000
1500,10,most of the time,less20000
1135,110,sometimes,less20000
95,30,sometimes,less20000
280,40,yes,less20000
590,50,yes,less20000
3005,20,yes,35001-50000
700,35,yes,20001-35000
325,60,most of the time,less20000
1400,110,most of the time,35001-50000
2015,45,most of the time,80001andup
350,160,yes,less20000
700,30,yes,80001andup
1520,50,most of the time,35001-50000
1325,60,most of the time,35001-50000
1050,60,yes,20001-35000
1050,60,sometimes,80001andup
2600,110,most of the time,80001andup
1650,60,sometimes,80001andup
620,35,most of the time,35001-50000
2050,25,most of the time,50001-65000
12020,115,most of the time,35001-50000
1500,65,most of the time,20001-35000
875,65,sometimes,20001-35000
200,40,most of the time,less20000
220,60,yes,20001-35000
1520,70,most of the time,less20000
500,50,most of the time,less20000
250,20,yes,20001-35000
700,30,most of the time,20001-35000
350,40,most of the time,less20000
1030,50,most of the time,35001-50000
950,95,most of the time,35001-50000
2050,120,yes,50001-65000
1025,70,most of the time,50001-65000
1300,120,most of the time,less20000
1300,220,most of the time,less20000
1500,45,most of the time,65001-80000
7000,820,rarely,80001andup
21000,25,most of the time,20001-35000
1500,75,sometimes,35001-50000
2950,75,yes,50001-65000
530,45,sometimes,less20000
20,35,most of the time,less20000
1030,75,yes,50001-65000
3005,75,most of the time,80001andup
1130,80,yes,35001-50000
625,75,most of the time,20001-35000
825,75,yes,less20000
3025,75,most of the time,80001andup
550,75,most of the time,20001-35000
1550,75,most of the time,35001-50000
2650,75,most of the time,80001andup
3025,100,most of the time,50001-65000
1810,275,most of the time,20001-35000
2050,125,most of the time,65001-80000
2600,125,most of the time,80001andup
1800,65,most of the time,35001-50000
500,80,most of the time,80001andup
68,68,most of the time,80001andup
1200,50,most of the time,20001-35000
1210,60,yes,20001-35000
3425,140,yes,80001andup
1325,100,yes,80001andup
1100,50,most of the time,20001-35000
805,60,most of the time,less20000
1525,100,sometimes,50001-65000
955,80,most of the time,50001-65000
2040,90,yes,35001-50000
950,100,yes,65001-80000
900,150,most of the time,65001-80000
2500,150,sometimes,35001-50000
510,105,sometimes,35001-50000
1225,225,sometimes,80001andup
600,80,yes,20001-35000
1530,140,sometimes,20001-35000
900,125,most of the time,less20000
450,150,sometimes,65001-80000
1000,200,yes,35001-50000
3000,115,yes,35001-50000
1200,150,most of the time,80001andup
1200,200,most of the time,20001-35000
1200,100,yes,80001andup
1500,150,yes,80001andup
2420,150,most of the time,65001-80000
2550,200,yes,50001-65000
1550,150,most of the time,80001andup
2100,200,yes,35001-50000
500,400,yes,65001-80000
2550,200,yes,50001-65000
1400,300,sometimes,35001-50000
2800,250,yes,80001andup
7150,220,sometimes,80001andup
420,175,yes,20001-35000
1005,145,sometimes,20001-35000
1525,200,yes,20001-35000
2500,180,yes,50001-65000
2050,200,yes,80001andup
8000,150,yes,80001andup
3560,210,most of the time,80001andup
1550,220,yes,20001-35000
1800,200,yes,20001-35000
775,250,yes,65001-80000
1350,300,most of the time,35001-50000
3000,1700,yes,80001andup
2500,250,most of the time,35001-50000
2700,350,yes,80001andup
600,400,yes,80001andup
660,450,rarely,35001-50000
1000,370,yes,20001-35000
2.5,600,yes,20001-35000
3600,600,yes,80001andup
1500,600,yes,20001-35000
1500,500,sometimes,20001-35000
3000,500,most of the time,50001-65000
4100,800,most of the time,65001-80000
3500,650,yes,80001andup
5500,1500,yes,80001andup
3520,620,sometimes,50001-65000
2250,700,yes,65001-80000
2100,1200,most of the time,35001-50000
